baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbols,gene_mgi,gene_entrezid
89.59600943147377,-1.0964504091663403,0.2735719726501417,1.3230697899794613e-5,6.635559916986102e-5,Paqr8,MGI:MGI:1921479,74229
116.330394227085,-1.75594757952244,0.24866942071772977,1.9165304370883697e-13,2.100010390552516e-12,Kcnq5,MGI:MGI:1924937,226922
98.16057148384886,-2.4694815331261983,0.28870033259513966,9.863170124325396e-19,1.4831564303152244e-17,Fam135a,MGI:MGI:1915437,68187
32.203295586319534,-1.604713142652253,0.4895957615536605,1.06559667934584e-4,4.6326541265626287e-4,Bend6,MGI:MGI:2444572,320705
1059.0315146775506,-4.145812162597169,0.1153602811696374,8.493675942956947e-284,3.011687615853674e-281,Dst,MGI:MGI:104627,13518
1507.07906813644,-1.516413054921381,0.0794175813055647,3.501278126882956e-82,2.6414536132556566e-80,Aff3,MGI:MGI:106927,16764
16.20472083399598,-2.2855405987052655,0.7727930732379945,1.8166212205586376e-4,7.53553524082454e-4,Npas2,MGI:MGI:109232,18143
5.737988076262432,-3.0258341841998,1.7231452208844633,0.003013393667074949,0.009685361915078275,Gm16894,MGI:MGI:4439818,100047133
60.714552269498164,-3.544534242587552,0.4208536033142126,3.2626949824149797e-18,4.7844763724760275e-17,Il1r1,MGI:MGI:96545,16177
137.49519779244343,-1.0163136100338124,0.2220866287096585,1.1938587121279594e-6,6.9079376982103764e-6,Il1rl2,MGI:MGI:1913107,107527
181.04836543030441,-3.477867243017368,0.23872477000981668,4.141161896972088e-49,1.7439111465895046e-47,Il1rl1,MGI:MGI:98427,17082
5.280592509593947,-2.400403419306891,1.798738737033195,0.00777879129207918,0.02247192289673648,Col5a2,MGI:MGI:88458,12832
163.8074027089651,-4.183699945037503,0.2871878083306155,4.8241435112228215e-49,2.0267118556983272e-47,1700019D03Rik,MGI:MGI:1914330,67080
12.459628814235105,-3.4833157832758994,1.12241014506235,8.441309873754563e-5,3.7311389367188894e-4,Dnah7a,MGI:MGI:2685838,627872
853.8829079418927,-1.0707753959708624,0.09713153433568407,7.217456387652809e-29,1.6362951956099314e-27,Pgap1,MGI:MGI:2443342,241062
138.93242471866984,-2.414489849249962,0.2389913387327079,4.803426296568906e-25,9.5900838752106e-24,Plcl1,MGI:MGI:3036262,227120
96.23790851928747,-1.8223328602928124,0.2742803320371104,3.3412006212802204e-12,3.382989481135181e-11,Bmpr2,MGI:MGI:1095407,12168
98.86005829350574,-5.586463776367999,0.5048382995397059,7.557144078664851e-29,1.7067593295624095e-27,Ica1l,MGI:MGI:1917625,70375
18.015637735235423,-2.093236280072448,0.7138425270654457,2.1483744142944126e-4,8.780205161601116e-4,NA,NA,NA
15647.44668289226,-1.0940805907183782,0.050292836941055026,1.0317934551017412e-105,1.039356032130612e-103,Ctla4,MGI:MGI:88556,12477
22.60406053098145,-1.1344816169083896,0.5802338475710329,0.007189522895664192,0.020947091440793833,Zdbf2,MGI:MGI:1921134,73884
66.6746906765201,-2.170524503837762,0.34137056107314945,1.8489849760671665e-11,1.7642978816305057e-10,Map2,MGI:MGI:97175,17756
457.102870630526,-1.0866053434796554,0.1287418620945592,7.23444283798878e-18,1.0419125676255328e-16,Kansl1l,MGI:MGI:1915941,68691
4579.380253568192,-3.6083445982577516,0.06726786783963608,0,0,Ikzf2,MGI:MGI:1342541,22779
313.43398990322027,-1.8482983456800306,0.15738867544606358,8.18967389955054e-33,2.1446784130743207e-31,Dnajb2,MGI:MGI:1928739,56812
15.94772255865561,-2.8226654675374645,0.7835374170271525,2.4325506985972513e-5,1.1690645870621491e-4,Speg,MGI:MGI:109282,11790
115.9860041261805,-2.8622122111044166,0.2736304801623025,1.1312685630390296e-26,2.3763341651799713e-25,Acsl3,MGI:MGI:1921455,74205
83.4114146337662,-3.0863825266214406,0.33523349660038215,2.59652268500793e-21,4.396728813992893e-20,Utp14b,MGI:MGI:2445092,195434
13.567380625105493,-5.60261224040151,1.4455907408445285,4.643455471038681e-6,2.4901337581985716e-5,Scg2,MGI:MGI:103033,20254
93.53166230044529,-3.925639846026868,0.3654669130600905,5.6913222347486e-28,1.2441609358798759e-26,Fam124b,MGI:MGI:3026880,241128
30.198920206865125,-4.683185549532085,0.7486069563773692,7.355403898206239e-11,6.697686477211012e-10,Ecel1,MGI:MGI:1343461,13599
118.97103393932682,-1.7037191371394558,0.25175307262721125,1.4357181692171244e-12,1.4894000832095027e-11,Ramp1,MGI:MGI:1858418,51801
193.67805260569193,-1.9178099744266288,0.19501876306129254,8.744069631565804e-24,1.6369969429570236e-22,Per2,MGI:MGI:1195265,18627
4.804059592820916,-2.9300624949685785,2.1103964482977853,0.004116498921240144,0.012830768174167811,Twist2,MGI:MGI:104685,13345
3566.4243949145784,-1.6236301451510546,0.062422120228947935,4.0913585131205813e-150,6.362780270097788e-148,Pdcd1,MGI:MGI:104879,18566
3367.706654779962,-1.7635974652477635,0.06317878829970021,1.7722738285222083e-172,3.142064270587023e-170,Bcl2,MGI:MGI:88138,12043
242.75487694465014,-1.955609021598876,0.17924471755907403,1.0130292031727358e-28,2.2734170560822067e-27,Dsel,MGI:MGI:2442948,319901
23.5434365915896,-1.2595185532662048,0.5816266215653392,0.0037127077654539077,0.011699714890460776,Epb41l5,MGI:MGI:103006,226352
902.8821987664443,-3.6060182757408126,0.11789319978104688,1.0384391489770244e-206,2.5219846126320093e-204,Il10,MGI:MGI:96537,16153
