baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbols,gene_mgi,gene_entrezid
23.58460529173005,1.655747441257289,0.5724934423375686,3.6507543746425555e-4,0.0014249930196711278,Slco5a1,MGI:MGI:2443431,240726
89.59600943147377,-1.0964504091663403,0.2735719726501417,1.3230697899794613e-5,6.635559916986102e-5,Paqr8,MGI:MGI:1921479,74229
116.330394227085,-1.75594757952244,0.24866942071772977,1.9165304370883697e-13,2.100010390552516e-12,Kcnq5,MGI:MGI:1924937,226922
196.11208391555286,2.20446358461708,0.20031905044222803,3.1544168521541413e-29,7.262942385953347e-28,Ogfrl1,MGI:MGI:1917405,70155
98.16057148384886,-2.4694815331261983,0.28870033259513966,9.863170124325396e-19,1.4831564303152244e-17,Fam135a,MGI:MGI:1915437,68187
32.203295586319534,-1.604713142652253,0.4895957615536605,1.06559667934584e-4,4.6326541265626287e-4,Bend6,MGI:MGI:2444572,320705
1059.0315146775506,-4.145812162597169,0.1153602811696374,8.493675942956947e-284,3.011687615853674e-281,Dst,MGI:MGI:104627,13518
1507.07906813644,-1.516413054921381,0.0794175813055647,3.501278126882956e-82,2.6414536132556566e-80,Aff3,MGI:MGI:106927,16764
16.20472083399598,-2.2855405987052655,0.7727930732379945,1.8166212205586376e-4,7.53553524082454e-4,Npas2,MGI:MGI:109232,18143
344.1907509957908,2.8239567938759778,0.15866186448754013,6.720507256234446e-72,4.270533087662383e-70,Tbc1d8,MGI:MGI:1927225,54610
5.737988076262432,-3.0258341841998,1.7231452208844633,0.003013393667074949,0.009685361915078275,Gm16894,MGI:MGI:4439818,100047133
60.714552269498164,-3.544534242587552,0.4208536033142126,3.2626949824149797e-18,4.7844763724760275e-17,Il1r1,MGI:MGI:96545,16177
137.49519779244343,-1.0163136100338124,0.2220866287096585,1.1938587121279594e-6,6.9079376982103764e-6,Il1rl2,MGI:MGI:1913107,107527
181.04836543030441,-3.477867243017368,0.23872477000981668,4.141161896972088e-49,1.7439111465895046e-47,Il1rl1,MGI:MGI:98427,17082
603.1505094439515,1.8405470895504947,0.11611616050999422,1.510750897497718e-57,7.741070133450013e-56,Fhl2,MGI:MGI:1338762,14200
5.280592509593947,-2.400403419306891,1.798738737033195,0.00777879129207918,0.02247192289673648,Col5a2,MGI:MGI:88458,12832
163.8074027089651,-4.183699945037503,0.2871878083306155,4.8241435112228215e-49,2.0267118556983272e-47,1700019D03Rik,MGI:MGI:1914330,67080
12.459628814235105,-3.4833157832758994,1.12241014506235,8.441309873754563e-5,3.7311389367188894e-4,Dnah7a,MGI:MGI:2685838,627872
853.8829079418927,-1.0707753959708624,0.09713153433568407,7.217456387652809e-29,1.6362951956099314e-27,Pgap1,MGI:MGI:2443342,241062
138.93242471866984,-2.414489849249962,0.2389913387327079,4.803426296568906e-25,9.5900838752106e-24,Plcl1,MGI:MGI:3036262,227120
96.23790851928747,-1.8223328602928124,0.2742803320371104,3.3412006212802204e-12,3.382989481135181e-11,Bmpr2,MGI:MGI:1095407,12168
98.86005829350574,-5.586463776367999,0.5048382995397059,7.557144078664851e-29,1.7067593295624095e-27,Ica1l,MGI:MGI:1917625,70375
18.015637735235423,-2.093236280072448,0.7138425270654457,2.1483744142944126e-4,8.780205161601116e-4,NA,NA,NA
15647.44668289226,-1.0940805907183782,0.050292836941055026,1.0317934551017412e-105,1.039356032130612e-103,Ctla4,MGI:MGI:88556,12477
361.9930740758317,1.2752342445430167,0.13940526558242664,1.1020950556657767e-20,1.8243737854247019e-19,Nrp2,MGI:MGI:1100492,18187
22.60406053098145,-1.1344816169083896,0.5802338475710329,0.007189522895664192,0.020947091440793833,Zdbf2,MGI:MGI:1921134,73884
197.86715467577753,1.9824372110998159,0.19557385923874496,3.739531972230996e-25,7.516798450757746e-24,Adam23,MGI:MGI:1345162,23792
66.6746906765201,-2.170524503837762,0.34137056107314945,1.8489849760671665e-11,1.7642978816305057e-10,Map2,MGI:MGI:97175,17756
457.102870630526,-1.0866053434796554,0.1287418620945592,7.23444283798878e-18,1.0419125676255328e-16,Kansl1l,MGI:MGI:1915941,68691
4579.380253568192,-3.6083445982577516,0.06726786783963608,0,0,Ikzf2,MGI:MGI:1342541,22779
17.736047457304696,3.073319086333658,0.7458778204280877,2.7301310810059113e-6,1.5130507638372555e-5,Fn1,MGI:MGI:95566,14268
6.22348241374207,3.260792470936783,1.4967750518113734,0.0021145876666339536,0.007025773002577467,Cxcr2,MGI:MGI:105303,12765
47.064407295182825,2.215041372281959,0.41339023830897653,6.50977010377389e-9,4.903175066789547e-8,Slc11a1,MGI:MGI:1345275,18173
135.72710607593643,2.7900519633595056,0.24984001606985104,5.38345306162808e-30,1.2776872734886778e-28,Cyp27a1,MGI:MGI:88594,104086
313.43398990322027,-1.8482983456800306,0.15738867544606358,8.18967389955054e-33,2.1446784130743207e-31,Dnajb2,MGI:MGI:1928739,56812
15.94772255865561,-2.8226654675374645,0.7835374170271525,2.4325506985972513e-5,1.1690645870621491e-4,Speg,MGI:MGI:109282,11790
115.9860041261805,-2.8622122111044166,0.2736304801623025,1.1312685630390296e-26,2.3763341651799713e-25,Acsl3,MGI:MGI:1921455,74205
83.4114146337662,-3.0863825266214406,0.33523349660038215,2.59652268500793e-21,4.396728813992893e-20,Utp14b,MGI:MGI:2445092,195434
13.567380625105493,-5.60261224040151,1.4455907408445285,4.643455471038681e-6,2.4901337581985716e-5,Scg2,MGI:MGI:103033,20254
